"ID","Instrumento","Angulo","Pedal","AssetValidado","MatrizVisual","HeadlineArte","TextoPrincipal","Titulo","Descricao","CTA","URL","Arquivo"
"CG01","Guitarra","Versatilidade","Tank G","assets/img/equipment/originals/tank-g.webp","assets/creativos-instagram/finais/01-guitarra-quantidade-tank-g.png","DO CLEAN AO HIGH GAIN","Seu Tank G pode ir muito além de uma única resposta de caixa. Explore IRs para clean, crunch, rock e high gain e encontre combinações que façam sentido no seu setup. O foco é o pack de IRs; o Tank G aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Mais timbres para sua guitarra","IRs para explorar cleans, crunches e sons de alto ganho.","Saiba mais","https://mvave.com.br/guitar/","img-criativos/guitarra/CG01-guitarra-versatilidade-tank-g.png"
"CG02","Guitarra","Estilos","Blackbox","assets/img/equipment/originals/annblack-box.webp","assets/creativos-instagram/finais/03-guitarra-organizacao-annblack-box.png","UM EQUIPAMENTO. MUITOS ESTILOS.","Você já conhece a Blackbox. Agora imagine testar diferentes referências de caixa sem trocar de equipamento. O pack reúne IRs para ampliar suas possibilidades de timbre. O foco é o pack de IRs; o Blackbox aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Explore estilos com novos IRs","IRs para explorar cleans, crunches e sons de alto ganho.","Saiba mais","https://mvave.com.br/guitar/","img-criativos/guitarra/CG02-guitarra-estilos-blackbox.png"
"CG03","Guitarra","Clean","Cube Baby Guitar","assets/img/equipment/originals/cube-baby.webp","assets/creativos-instagram/finais/02-guitarra-transformacao-cube-baby.png","SEU CLEAN PODE RESPIRAR MAIS","Um clean interessante começa na resposta certa. Compare IRs, perceba mudanças de brilho, corpo e ambiência e escolha o que conversa melhor com sua guitarra. O foco é o pack de IRs; o Cube Baby Guitar aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Novas respostas para sons clean","IRs para explorar cleans, crunches e sons de alto ganho.","Saiba mais","https://mvave.com.br/guitar/","img-criativos/guitarra/CG03-guitarra-clean-cube-baby-guitar.png"
"CG04","Guitarra","Crunch","MVAVE MK300","assets/img/equipment/originals/mk-300.webp","assets/creativos-instagram/finais/04-guitarra-universo-mk-300.png","CRUNCH COM MAIS PERSONALIDADE","O mesmo drive pode ganhar outra personalidade quando a caixa muda. Use a biblioteca de IRs para comparar respostas e encontrar um crunch mais alinhado ao seu toque. O foco é o pack de IRs; o MVAVE MK300 aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Dê outra cara ao seu crunch","IRs para explorar cleans, crunches e sons de alto ganho.","Saiba mais","https://mvave.com.br/guitar/","img-criativos/guitarra/CG04-guitarra-crunch-mk300.png"
"CG05","Guitarra","High gain","IRbox","assets/img/equipment/originals/ir-box.webp","assets/creativos-instagram/finais/07-guitarra-gabinetes-ir-box.png","PESO SEM EMBOLAR","No high gain, a escolha da caixa influencia peso, ataque e definição. Explore diferentes IRs no IRbox e descubra quais combinações funcionam melhor nos seus riffs. O foco é o pack de IRs; o IRbox aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","High gain com mais definição","IRs para explorar cleans, crunches e sons de alto ganho.","Saiba mais","https://mvave.com.br/guitar/","img-criativos/guitarra/CG05-guitarra-high-gain-irbox.png"
"CG06","Guitarra","Rock","Tank Mini","assets/img/equipment/originals/tank-mini.webp","assets/creativos-instagram/finais/05-guitarra-portabilidade-tank-mini.png","ROCK NÃO TEM UMA SÓ CAIXA","Seu som de rock pode mudar bastante com outra referência de gabinete. O pack ajuda você a testar caminhos clássicos e modernos usando o Tank Mini. O foco é o pack de IRs; o Tank Mini aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Encontre sua resposta de rock","IRs para explorar cleans, crunches e sons de alto ganho.","Saiba mais","https://mvave.com.br/guitar/","img-criativos/guitarra/CG06-guitarra-rock-tank-mini.png"
"CG07","Guitarra","Quantidade validada","MVAVE MK300","assets/img/equipment/originals/mk-300.webp","assets/creativos-instagram/finais/04-guitarra-universo-mk-300.png","11.658 ARQUIVOS. QUAL COMBINA COM VOCÊ?","Uma biblioteca ampla para quem gosta de comparar com calma. São 11.658 arquivos de IR para guitarra, entre WAV e SYX, organizados para abrir novas possibilidades no MK300 e em equipamentos compatíveis. O foco é o pack de IRs; o MVAVE MK300 aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Uma biblioteca inteira de timbres","IRs para explorar cleans, crunches e sons de alto ganho.","Saiba mais","https://mvave.com.br/guitar/","img-criativos/guitarra/CG07-guitarra-biblioteca-mk300.png"
"CG08","Guitarra","Transformação","Tank G","assets/img/equipment/originals/tank-g.webp","assets/creativos-instagram/finais/01-guitarra-quantidade-tank-g.png","MUDE A CAIXA. MUDE A SENSAÇÃO.","Você não precisa trocar de equipamento para experimentar outra sensação de timbre. Carregue um novo IR, compare a resposta e redescubra seu Tank G. O foco é o pack de IRs; o Tank G aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Redescubra seu equipamento","IRs para explorar cleans, crunches e sons de alto ganho.","Saiba mais","https://mvave.com.br/guitar/","img-criativos/guitarra/CG08-guitarra-transformacao-tank-g.png"
"CG09","Guitarra","Comparação","Blackbox","assets/img/equipment/originals/annblack-box.webp","assets/creativos-instagram/finais/03-guitarra-organizacao-annblack-box.png","A MESMA REGULAGEM. OUTRA RESPOSTA.","Mantenha sua regulagem e altere apenas o IR. Essa comparação simples revela diferenças de ataque, corpo e presença que podem aproximar você do som que procura. O foco é o pack de IRs; o Blackbox aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Compare antes de escolher","IRs para explorar cleans, crunches e sons de alto ganho.","Saiba mais","https://mvave.com.br/guitar/","img-criativos/guitarra/CG09-guitarra-compare-blackbox.png"
"CG10","Guitarra","Gabinetes","IRbox","assets/img/equipment/originals/ir-box.webp","assets/creativos-instagram/finais/07-guitarra-gabinetes-ir-box.png","QUANTAS CAIXAS CABEM NO SEU SETUP?","O IRbox pode carregar diferentes respostas de caixa no mesmo setup compacto. Conheça uma biblioteca de IRs criada para ampliar suas opções de guitarra. O foco é o pack de IRs; o IRbox aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Mais caixas, o mesmo setup","IRs para explorar cleans, crunches e sons de alto ganho.","Saiba mais","https://mvave.com.br/guitar/","img-criativos/guitarra/CG10-guitarra-gabinetes-irbox.png"
"CG11","Guitarra","Dinâmica","Cube Baby Guitar","assets/img/equipment/originals/cube-baby.webp","assets/creativos-instagram/finais/02-guitarra-transformacao-cube-baby.png","MAIS RESPOSTA AO SEU TOQUE","Palhetada, volume e articulação também passam pela resposta de caixa. Teste diferentes IRs no Cube Baby Guitar e perceba quais preservam melhor a intenção do seu toque. O foco é o pack de IRs; o Cube Baby Guitar aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Timbre que acompanha sua dinâmica","IRs para explorar cleans, crunches e sons de alto ganho.","Saiba mais","https://mvave.com.br/guitar/","img-criativos/guitarra/CG11-guitarra-dinamica-cube-baby-guitar.png"
"CG12","Guitarra","Praticidade","Tank Mini","assets/img/equipment/originals/tank-mini.webp","assets/creativos-instagram/finais/05-guitarra-portabilidade-tank-mini.png","MENOS PROCURA. MAIS GUITARRA.","Em vez de juntar arquivos soltos, comece com uma biblioteca organizada. Encontre referências, compare opções e volte mais rápido ao que importa: tocar. O foco é o pack de IRs; o Tank Mini aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Organize sua busca por timbre","IRs para explorar cleans, crunches e sons de alto ganho.","Saiba mais","https://mvave.com.br/guitar/","img-criativos/guitarra/CG12-guitarra-praticidade-tank-mini.png"
"CG13","Guitarra","Possibilidades","MVAVE MK300","assets/img/equipment/originals/mk-300.webp","assets/creativos-instagram/finais/04-guitarra-universo-mk-300.png","SEU MK300 AINDA TEM CAMINHOS","Amp, efeitos e regulagem contam — e a resposta de caixa também. Amplie as combinações do seu MK300 com uma biblioteca de IRs para guitarra. O foco é o pack de IRs; o MVAVE MK300 aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Abra novas possibilidades no MK300","IRs para explorar cleans, crunches e sons de alto ganho.","Saiba mais","https://mvave.com.br/guitar/","img-criativos/guitarra/CG13-guitarra-possibilidades-mk300.png"
"CG14","Guitarra","Definição","Tank G","assets/img/equipment/originals/tank-g.webp","assets/creativos-instagram/finais/01-guitarra-quantidade-tank-g.png","GAIN ALTO. DETALHE PRESENTE.","Experimente respostas que equilibram corpo e definição no high gain. O pack oferece diferentes IRs para você comparar no Tank G e escolher pelo ouvido. O foco é o pack de IRs; o Tank G aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Peso com leitura das notas","IRs para explorar cleans, crunches e sons de alto ganho.","Saiba mais","https://mvave.com.br/guitar/","img-criativos/guitarra/CG14-guitarra-definicao-high-gain-tank-g.png"
"CG15","Guitarra","Contraste","Blackbox","assets/img/equipment/originals/annblack-box.webp","assets/creativos-instagram/finais/03-guitarra-organizacao-annblack-box.png","CLEAN DE UM LADO. CRUNCH DO OUTRO.","Crie contrastes mais marcantes entre bases limpas e partes com drive escolhendo IRs adequados para cada contexto. A Blackbox vira o ponto de partida, não o limite. O foco é o pack de IRs; o Blackbox aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Do clean ao crunch","IRs para explorar cleans, crunches e sons de alto ganho.","Saiba mais","https://mvave.com.br/guitar/","img-criativos/guitarra/CG15-guitarra-clean-crunch-blackbox.png"
"CG16","Guitarra","Descoberta","IRbox","assets/img/equipment/originals/ir-box.webp","assets/creativos-instagram/finais/07-guitarra-gabinetes-ir-box.png","O TIMBRE CERTO PODE SER OUTRA CAIXA","Antes de refazer toda a regulagem, experimente outro IR. Uma nova resposta de caixa pode mudar o equilíbrio do seu som de guitarra de forma clara e prática. O foco é o pack de IRs; o IRbox aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Talvez seja a caixa","IRs para explorar cleans, crunches e sons de alto ganho.","Saiba mais","https://mvave.com.br/guitar/","img-criativos/guitarra/CG16-guitarra-descoberta-irbox.png"
"CG17","Guitarra","Foco na mix","Cube Baby Guitar","assets/img/equipment/originals/cube-baby.webp","assets/creativos-instagram/finais/02-guitarra-transformacao-cube-baby.png","UM TIMBRE BONITO. E UM QUE ENCAIXA.","O timbre isolado nem sempre é o que funciona na faixa. Compare IRs no Cube Baby Guitar e procure presença, espaço e equilíbrio dentro da mix. O foco é o pack de IRs; o Cube Baby Guitar aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Guitarra que encontra seu espaço","IRs para explorar cleans, crunches e sons de alto ganho.","Saiba mais","https://mvave.com.br/guitar/","img-criativos/guitarra/CG17-guitarra-mix-cube-baby-guitar.png"
